Year,Date,Race,City,State,Finishers,Include,Category
2022,2022-11-06,NYC Marathon,New York,NY,47738,Yes,
2023,2023-11-05,NYC Marathon,New York,NY,51348,Yes,
2022,2022-10-30,Marine Corps Marathon,Washington,DC,11257,Yes,
2023,2023-10-29,Marine Corps Marathon,Washington,DC,13724,Yes,
2023,2023-01-15,Houston Marathon,Houston,TX,6103,Yes,
2024,2024-01-14,Houston Marathon,Houston,TX,7180,Yes,
2023,2023-04-15,Rotterdam Marathon,Rotterdam,ROT,16844,No,
2022,2022-09-23,RnR Montreal Marathon,Montreal,QC,1791,Maybe,
2023,2023-09-23,RnR Montreal Marathon,Montreal,QC,2682,Maybe,
2022,2022-10-30,Dublin Marathon,Dublin,DUB,14847,No,
2023,2023-10-29,Dublin Marathon,Dublin,DUB,16495,No,
2022,2022-10-02,Portland Marathon,Portland,OR,2315,Yes,
2023,2023-10-01,Portland Marathon,Portland,OR,2258,Yes,
2023,2023-04-23,Haspa Marathon Hamburg,Hamburg,HAM,8635,No,
2023,2023-02-25,Atlanta Marathon,Atlanta,GA,1383,Yes,
2024,2024-02-24,Atlanta Marathon,Atlanta,GA,1582,Yes,
2022,2022-10-15,Cape Town Marathon,Cape Town,CAP,9187,No,
2023,2023-10-14,Cape Town Marathon,Cape Town,CAP,13326,No,
2024,2024-05-19,MARATON DE LIMA - LIMA 42K,Lima,LIM,3062,No,
2024,2024-05-03,Rotorua Marathon,Rotorua,WAI,1151,No,
2022,2022-10-02,London Marathon,London,LON,40620,Yes,
2023,2023-04-23,London Marathon,London,LON,48780,Yes,
2024,2024-04-21,London Marathon,London,LON,53877,Yes,
2023,2023-01-04,Disney World Marathon,Orlando,FL,12693,Yes,
2024,2024-01-03,Disney World Marathon,Orlando,FL,12710,Yes,
2023,2023-04-08,Carmel Marathon,Carmel,IN,945,Yes,
2024,2024-04-13,Carmel Marathon,Carmel,IN,1451,Yes,
2023,2023-02-12,Hong Kong Marathon,Kowloon,HON,2075,Yes,
2024,2024-01-21,Hong Kong Marathon,Kowloon,HON,1991,Yes,
2022,2022-10-09,Chicago Marathon,Chicago,IL,39335,Yes,
2023,2023-10-08,Chicago Marathon,Chicago,IL,48390,Yes,
2022,2022-11-12,Athens Marathon,City Of Marathonas,ATH,12533,No,
2022,2022-10-16,Amsterdam Marathon,Amsterdam,NOO,12669,No,
2023,2023-10-15,Amsterdam Marathon,Amsterdam,NOO,16070,No,
2024,2024-08-10,Marathon Pour Tous,Paris,PAR,17319,No,
2024,2024-07-27,Jack and Jill Downhill Marathon,Snoqualmie,WA,701,Yes,Steep
2023,2023-04-23,RnR Madrid Marathon,Madrid,MAD,7405,No,
2024,2024-04-28,RnR Madrid Marathon,Madrid,MAD,9129,No,
2022,2022-12-03,Signapore Marathon,Singapore,SIN,5773,No,
